"tconst","title","FirstGenre","genres","titleType","runtimeMinutes","isAdult","averageRating","numVotes","directors","primaryName","birthYear","deathYear","primaryProfession"
"tt6923386","I'll Be Watching","Drama","Drama,Romance,Thriller","movie","87","0",5.5,428,"nm0083111","Jodi Binstock","1959",NA,"producer,production_manager,director"
"tt3606756","Incredibles 2","Action","Action,Adventure,Animation","movie","118","0",7.6,320606,"nm0083348","Brad Bird","1957",NA,"miscellaneous,writer,director"
"tt8482638","Homecoming","Comedy","Comedy,Short","short","7","0",7,14,"nm0086270","Jennifer Blair","1964",NA,"miscellaneous,production_manager,producer"
"tt9033444","God: City","Comedy","Comedy,Short","short","4","0",6,1623,"nm0088955","Neill Blomkamp","1979",NA,"director,writer,visual_effects"
"tt8914342","A Crow Christmas Carol","Comedy","Comedy,History","tvEpisode","39","0",7.8,146,"nm0090877","Richard Boden","1953",NA,"director,producer,production_manager"
"tt12261988","Das Microsoft-Dilemma","Documentary","Documentary","movie","45","0",7.8,5,"nm0094187","Arpad Bondy","1947",NA,"music_department,composer,editor"
"tt6318712","Så længe jeg lever","Biography","Biography,Drama,Music","movie","110","0",6.5,1234,"nm0097079","Ole Bornedal","1959",NA,"writer,director,producer"
"tt8840490","EU & USA","Animation","Animation,Short","short","5","0",6.6,18,"nm0102547","Bruno Bozzetto","1938",NA,"director,writer,producer"
"tt8247470","Rosie","Drama","Drama","movie","86","0",7,2103,"nm0106456","Paddy Breathnach","1964",NA,"director,producer,assistant_director"
"tt8246980","Koja je ovo drzava!","Comedy","Comedy,Drama","movie","118","0",6.4,742,"nm0107655","Vinko Bresan","1964",NA,"producer,director,actor"
"tt4320180","Lost in Time","Drama","Drama,Romance","movie","90","0",8,11,"nm0112085","Katherine Brooks","1976",NA,"director,writer,camera_department"
"tt8042598","Ruling of the Heart","Drama","Drama","movie","85","0",6.6,135,"nm0112647","Brian Brough","1975",NA,"producer,director,assistant_director"
"tt7275816","Wuff","Comedy","Comedy,Drama,Romance","movie","114","0",5.1,324,"nm0118345","Detlev Buck","1962",NA,"actor,director,writer"
"tt8202984","Ride","Action","Action,Animation,Short","video","6","0",6.3,22,"nm0124186","Paul Bush","1956","2023","director,producer,editor"
"tt8746310","Death on the Tyne","Comedy","Comedy","tvMovie","87","0",5.9,912,"nm0125753","Ed Bye","1955",NA,"director,producer,miscellaneous"
"tt8488542","Und der Zukunft zugewandt","Drama","Drama","movie","108","0",6.5,444,"nm0127015","Bernd Böhlich","1957",NA,"director,writer,assistant_director"
"tt6962204","Walk Like a Panther","Comedy","Comedy","movie","108","0",5,676,"nm0128058","Dan Cadan","1975",NA,"director,writer,miscellaneous"
"tt8297660","La Terre vue du coeur","Documentary","Documentary","movie","91","0",7.6,36,"nm0128301","Iolande Cadrin-Rossignol","1942",NA,"director,producer,writer"
"tt9331322","Achille Tarallo","Comedy","Comedy","movie","103","0",4.6,82,"nm0135724","Antonio Capuano","1940",NA,"director,writer,production_designer"
"tt8706638","Chine, un million d'artistes","Documentary","Documentary","tvMovie","53","0",7.4,6,"nm0141142","Jean-Michel Carré","1948",NA,"director,writer,cinematographer"
"tt9124840","Organik Ask","Comedy","Comedy,Romance","movie","100","0",4.3,164,"nm0149131","Kamil Cetin","1972",NA,"director,cinematographer,camera_department"
"tt8198998","Paris Song","Biography","Biography,Drama,History","movie","90","0",7,93,"nm0152970","Jeff Vespa","1970",NA,"producer,director,camera_department"
"tt6958520","The Outer Wild","Action","Action,Adventure,Horror","movie","85","0",3.7,702,"nm0157266","Philip Chidel","1967",NA,"director,editor,producer"
"tt8226904","Yakiniku Doragon","Drama","Drama,Family","movie","126","0",6.3,138,"nm0159091","Wui-Sin Chong","1957",NA,"writer,actor,director"
"tt8392146","Vixen","Action","Action","movie","88","0",5.6,41,"nm0165105","Ross W. Clarkson","1963",NA,"camera_department,cinematographer,director"
"tt8881452","Meet the Fuckers: A Digital Playground XXX Parody","Adult","Adult,Comedy,Romance","video","114","1",5.9,10,"nm0167201","Francois Clousot","1967",NA,"cinematographer,director,camera_department"
"tt8951294","The Next Morning","Adult","Adult,Comedy,Romance","video","107","1",7.4,6,"nm0167201","Francois Clousot","1967",NA,"cinematographer,director,camera_department"
"tt8564140","Cumless: A Digital Playground XXX Parody","Adult","Adult,Comedy","video","112","1",6.6,11,"nm0167201","Francois Clousot","1967",NA,"cinematographer,director,camera_department"
"tt8460920","Empty Nesters","Adult","Adult,Drama,Romance","video","151","1",6.8,5,"nm0167201","Francois Clousot","1967",NA,"cinematographer,director,camera_department"
"tt8023090","Team Darryl","Comedy","Comedy,Sci-Fi,Short","short","6","0",6.6,3686,"nm0169806","Taika Waititi","1975",NA,"producer,writer,actor"
"tt9172182","Sinterklaas en de wakkere nachten","Comedy","Comedy,Family","movie","95","0",6.6,52,"nm0174659","Stijn Coninx","1957",NA,"director,assistant_director,writer"
"tt6186940","Hot Air","Comedy","Comedy,Drama","movie","99","0",5.4,1270,"nm0178997","Frank Coraci","1966",NA,"director,actor,producer"
"tt8371772","The Eyes of Orson Welles","Documentary","Documentary","movie","115","0",6.8,1043,"nm0184108","Mark Cousins","1965",NA,"director,writer,cinematographer"
"tt8090232","Midnight Delivery","Horror","Horror,Short,Thriller","short","10","0",7.5,13,"nm0188888","Nathan Crooker","1980",NA,"producer,director,actor"
"tt6155172","Roma","Drama","Drama","movie","135","0",7.7,166706,"nm0190859","Alfonso Cuarón","1961",NA,"producer,writer,director"
"tt7321356","Tiempo después","Comedy","Comedy,Sci-Fi","movie","99","0",5.7,1458,"nm0191109","José Luis Cuerda","1947","2020","director,writer,actor"
