,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,score
40197,1952.0,17.4,7.1,0.0877763328998699,0.0,66.4,31.3,6.1,7.7,0.57,0.224409448818898,0.0002981549173194,0.0379656283566058,0.2355581395348837,0.007,D
3006,1501.0,0.9,0.2,0.0130673431734317,0.0005857142857142,74.0,2.3,3.5,10.7,0.06,0.0236220472440945,0.0004919526474386,0.013,0.12,0.0077940054495912,A
32236,2109.0,26.0,2.1,0.0642494777678305,0.0024895798875289,59.0,3.0,3.0,7.1,2.06,0.811023622047244,0.0004459280575539,0.0361118881118881,0.3625615763546798,0.002474,D
51300,2029.0,27.83333333333333,20.0,0.4058823529411764,0.02765625,54.833333333333336,43.0,2.8,5.2,0.4,0.15748031496063,0.0004496351744186,0.0554578488372093,0.3197088791848617,0.0044366279069767,E
20226,1920.0,16.9,1.4,0.2647058823529412,0.0,64.1,15.0,5.7,9.4,0.6604,0.26,0.0005654709748083,0.0670399999999999,0.320625,0.0068,C
7922,247.0,0.5,0.1,0.0,0.0,13.5,12.5,1.5,0.5,0.0254,0.01,1.9366132723112127e-05,0.0154288659793814,0.3840914110429447,0.0507480769230769,A
17723,285.0,4.0,0.4,0.0,0.0,5.7,4.0,1.8,1.3,1.0,0.393700787401575,7.238095238095239e-05,0.0032738461538461,0.12,0.0028411214953271,B
39027,1602.0,16.0,5.9,0.0117035110533159,0.0202705410821643,29.85,3.0,0.0,16.0,1.5,0.590551181102362,0.0001810530896431,0.0274826001313197,0.6432,0.007,D
5135,232.0,0.6,0.01,0.0114480874316939,0.0,13.4,8.9,1.85,0.6,0.004,0.0015748031496063,0.0006438233799237,0.0321510574018126,0.1973584905660377,0.0037746478873239,A
27078,687.0,12.0,3.0,0.3109363831308077,0.0303534218590398,9.9,0.9,0.05,4.1,1.4,0.551181102362205,0.0001481308411214,0.0122376237623762,0.3781858407079645,0.0100106145251396,C
42454,489.0,3.0,1.0,0.0,0.0113745928338762,2.0,2.0,0.5,20.0,2.5,0.984251968503937,1.843251231527093e-05,0.054251968503937,0.5107826086956522,0.0096086956521739,D
35906,2703.0,34.26,8.4,0.1289164086687306,0.0001880794701986,36.1,0.4,11.8,26.6,0.13,0.0511811023622047,0.0003957930200414,0.0115751633986928,0.2225192307692307,0.004775,D
50217,2228.0,29.0,16.8,0.2359375,0.0078,59.0,57.1,4.6,6.8,0.17272,0.068,0.0004618248175182,0.0513063791554357,0.2721248527679623,0.005704081632653,E
42873,1598.0,23.2775,2.4,0.0,0.0737560975609756,17.325,0.5,0.0,1.9,2.2,0.866141732283465,9.629268292682928e-05,0.0,0.4175,0.0060062499999999,D
7770,297.0,0.0,0.0,0.0,0.0,16.5,14.1,2.0,0.0,0.0,0.0,2.3018306636155604e-05,0.0155855670103092,0.7615855072463767,0.0041899999999999,A
5141,686.0,2.95,1.7,0.0113661202185792,0.0,69.0,0.6,2.1,18.0,0.5,0.196850393700787,0.0006526518424396,0.0326767371601208,0.1909622641509434,0.0038760563380281,A
43283,1100.0,16.0,14.0,0.935672514619883,0.0,23.0,21.0,4.42,3.5,0.12,0.047244094488189,0.0008,0.0,0.9135521235521236,0.0057378684807256,D
26624,902.0,14.2,8.0,0.6354538956397426,0.0090214504596527,13.6,2.0,0.8,8.2,0.5588,0.22,0.0002345980707395,0.015,0.3314181818181818,0.007790243902439,C
15916,409.0,5.2,1.3,0.2324071322436849,0.0022582084225553,6.1,0.8,1.2,6.1,0.88,0.346456692913386,0.0001111878453038,0.008578125,0.1171052631578947,0.0026569536423841,B
32957,1402.0,23.0,0.0,0.0857654431512981,0.0194234204432682,58.0,67.0,0.0,4.8,0.0,0.0,0.0004901869806094,0.0334137931034482,0.6081196172248804,0.007,D
15273,1464.0,1.85,0.1,0.4521545319465082,0.001684511063526,26.45,0.2,0.6,6.8,0.01,0.0039370078740157,0.0001425806451612,0.066051282051282,0.12,0.0079054320987654,B
47966,1103.0,23.0,9.2,0.6332836218375499,0.0131643024054982,1.8,1.8,0.0,13.0,3.1,1.22047244094488,0.0004525523012552,0.075711923076923,0.4606302521008403,0.0074022801302931,E
41537,1272.0,22.5,14.0,0.1311926605504587,0.0,2.5,1.0,2.8000000000000007,23.0,1.9,0.748031496062992,0.0001615913555992,0.0496299638989169,0.78,0.0056818181818181,D
9891,152.0,1.0,0.7,0.0,0.0168445121951219,5.7,0.7,0.5,0.8,0.7112,0.28,0.0002816842105263,0.0382832618025751,0.1263636363636363,0.0039072478991596,B
49162,1740.0,40.0,16.0,0.0479365079365079,0.0092455362007168,5.4,1.8,0.0,9.9,1.4,0.551181102362205,0.0005118635437881,0.0260830188679245,0.1471923076923076,0.0041423043852106,E
44171,2322.0,35.2,17.8,0.274187265917603,0.0668128342245989,48.95,45.5,0.0,9.7,0.08,0.031496062992126,0.0001684229651162,0.0015363372093023,0.1268101933216168,0.0040557106598984,E
26257,289.0,9.5,0.5,0.8977841315225161,0.0056210640608034,1.4500000000000002,14.5,0.5,0.5,0.011,0.0043307086614173,0.00012,0.022695652173913,0.2422260273972603,0.008366129032258,C
37497,1988.0,21.0,5.5,0.7317620650953984,0.0,56.0,2.5,4.8,13.0,2.1,0.826771653543307,0.000194859217877,2.0716918844566717e-05,0.6152,0.0131549872122762,D
24297,335.0,10.0,0.1,1.0,0.0011269487750556,7.75,9.7,0.0,2.8,1.7,0.669291338582677,0.0001568832891246,0.0310706319702602,0.1361927710843373,0.0036568823529411,C
23365,477.0,7.1,5.2,1.0,0.0001002506265664,20.766666666666666,0.0,0.5,6.9,0.8,0.31496062992126,0.00012,0.0353987730061349,0.2039441860465116,0.0037760517799352,C
17208,346.0,3.9,0.4,0.0035087719298245,0.0013426573426573,10.7,4.4,1.0,0.7,0.05,0.0196850393700787,6.244865718799368e-05,0.0286321243523316,0.12,0.0026641973568281,B
